title,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,description,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
어답산관광지,관광지,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 539-1,37.59380861,128.0575207,256567,"캠핑장, 계곡","민박,펜션",족구장,,,,1999.9.27,10000,400,"병지방계곡,캠핑장",033-340-5981,횡성군청,2021.7.22,4260000,강원도 횡성군
유현문화관광지,관광지,강원도 횡성군 서원면 경강로유현1길 30,강원도 횡성군 서원면 유현리 1097,37.52903211,127.8186829,147959,"성당, 유물전시관",,,,,,2003.4.12,5000,60,"풍수원성당, 유물전시관, 산책로",033-340-5986,횡성군청,2021.7.22,4260000,강원도 횡성군
웰리힐리파크 관광단지,관광단지,강원도 횡성군 둔내면 고원로 451,강원도 횡성군 둔내면 두원리 204,37.49012611,128.2501389,4830709,"스키장,콘도,골프장",콘도,"유원시설, 공연장",,,,2005.6.15,10000,500,"스키장, 골프장, 곤돌라, 콘도",1544-8833,신안종합리조트,2021.7.22,4260000,강원도 횡성군
소요산관광지,관광지,경기도 동두천시 평화로2910번길 145,경기도 동두천시 상봉암동 산 1-1,37.94652177,127.0693409,2472000,관리사무소+주차장+화장실,캐라반,,캠핑장+자유수호평화박물관+경기북부어린이박물관,야외음악당,,1977.3.31,100000,500,가을 단풍이 아름다워 예부터 경기의 소금강이라 일컬어졌으며 자재암 원효폭포 등의 관광명소가 소재하고 있다,031-860-2065,경기도 동두천시청 관광휴양과,2022.9.1,3920000,경기도 동두천시
탑산약수온천,관광지,경상북도 의성군 봉양면 도리원2길 88-42,경상북도 의성군 봉양면 구산리 1635,36.30396195,128.5892642,4958.6776,관리사무소 + 화장실 + 주차장,객실2,,,,,1997.12.31,1000,200,몸에 기를 넣어 건강을 증진시키는 유기 게르마늄 성분이 들어있는 세계 최고 게르마늄 함유 온천,054-830-6097,경상북도 의성군청,2022.9.21,5150000,경상북도 의성군
진하해수욕장,관광지,울산광역시 울주군 서생면 진하길 7,울산광역시 울주군 서생면 진하리 307-2,35.3855388,129.3415755,44000,샤워실+화장실,펜션+호텔,산책로+해양스포츠,카페+식당,,진하행정봉사실,2016.3.21,50000,300,"수심이 얕고,파도가 잔잔하여 가족단위 해수욕에 알맞은 울산의 대표적 해수욕장",052-204-0353,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
영남알프스 복합웰컴센터,관광지,울산광역시 울주군 상북면 알프스온천5길 103-8,울산광역시 울주군 상북면 등억알프스리 515-4,35.55645417,129.0679842,29866000,샤워실+화장실+주차장,모텔+리조트+펜션,영화관+클라이밍센터+번개맨체험관+VR체험존,영화관+카페,,영남알프스복합웰컴센터,2016.3.21,1000000,250,"울주 서쪽에 자리하고 있는 1,000m높이의 산들이 유럽 알프스와 견주어도 손색이 없어 많은 등산객들이 방문하고 있음",052-204-2931,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
외고산옹기마을,관광지,울산광역시 울주군 온양읍 외고산 3길 36,울산광역시 울주군 온양읍 고산리 501-18,35.435094,129.2795067,174580,화장실+안내소,,산책로+어린이 놀이터,옹기박물관+민속박물관+옹기아카데미관+발효아카데미관,,,2016.3.21,500000,500,"전국 최대 규모의 옹기점 집성지,옹기를 만드는 공방과 이를 구웡내는 가마를 볼수있다.",052-204-0334,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
울주 대곡리 반구대 암각화,관광지,울산광역시 울주군 언양읍 반구대안길 285,울산광역시 울주군 언양읍 대곡리 991,35.60863087,129.172957,117937,암각화박물관+주차장,반구대 팜스테이,산책로,반구대 팜스테이,,관광안내소,2016.3.21,50000,200,"태화강의 한 지류인 대곡천의 너비 10m,높이 3m바위에 새겨진 그림으로 신석기 시대부터 여러시대에 걸쳐 제작된 것으로 보인다.국보 285호",052-204-0323,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
작괘천,관광지,,울산광역시 울주군 상북면 등억알프스리 18-2,35.55162452,129.0953395,100000,샤워실+급수대+화장실,펜션+야영장,캠핑장+산책로,작천정+캠핑장,,,2016.3.21,200000,2000,"수백평이나되는 바위가 오랜 세월의 물살에 깎여 움푹움푹파인 형상이 마치 술잔을 걸어둔것과 같다고 해서작괘천이라하며, 사시사철 맑은 물이 흐른다",052-204-2343,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
대운산 내원암 계곡,관광지,울산광역시 울주군 온양읍 대운상대길 382,울산광역시 울주군 온양읍 운화리 1312,35.39913422,129.2309807,891008,화장실+주차장,,,산책로+사찰,,,2016.3.21,200000,500,"깊고 청량한 계곡속의 수려한 연못과폭포, 한번 누워보고 싶은 반석들을 품고 있는 비경이 있음",052-204-2343,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
간절곶 공원,관광지,울산광역시 울주군 서생면 간절곶해안길 205,울산광역시 울주군 서생면 대송리 2,35.3625312,129.3591079,584984,주차장+화장실,펜션,산책로+카페,카페+소망우체통,,,2016.3.21,500000,580,한반도에서 가장 해가 먼저 뜨는 대표적 해맞이 장소,052-204-1754,울산광역시 울주군청,2022.8.31,3730000,울산광역시 울주군
